127.0.0.1, 2011-06-16 16:04:45, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/default/index, HTTP/1.1, 200, 3.040000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2011-06-16 16:04:48, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-16 16:04:49, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-06-16 16:04:49, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2011-06-16 16:10:29, GET, /welcome/default/index, HTTP/1.1, 200, 1.752000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/favicon.ico, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-06-16 16:10:30, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-06-16 16:10:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.039000
127.0.0.1, 2011-06-16 16:10:44, GET, /admin/default/index, HTTP/1.1, 200, 0.480000
127.0.0.1, 2011-06-16 16:10:44, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2011-06-16 16:10:44, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2011-06-16 16:10:44, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.132000
127.0.0.1, 2011-06-16 16:10:44, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-06-16 16:10:45, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.053000
127.0.0.1, 2011-06-16 16:10:45, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2011-06-16 16:10:45, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.248000
